Date,Reviewer,Score,Title,Review
2021-06-01T08:53:23.000Z,anisoara zarafan,5 stars: Excellent,Siete fantastici,-
2021-05-26T05:12:43.000Z,Giovanni,5 stars: Excellent,ho già consigliato il servizio a dei…,ho già consigliato il servizio a dei conoscenti
2021-05-25T08:48:31.000Z,Angiolina,5 stars: Excellent,Tout était PARFAIT .,-
2021-05-19T18:28:15.000Z,MAURO VIRGILI,5 stars: Excellent,L'interazione é stata chiara e cordiale…,L'interazione é stata chiara e cordiale con informazioni fornite in modo chiaroattendo adesso gli sviluppi.
2021-05-19T16:43:15.000Z,Caterina,4 stars: Great,Tutto bene,Tutto bene! GRAZIE!
2021-05-19T10:36:23.000Z,Cristiano,5 stars: Excellent,Veloci e professionali. Grazie Nicholas!,"Aiutato in ogni passo dal puntuale, cortese, preparato Nicholas Baccarini. In un amen subentri fatti nonostante non conoscessi né POD né PDR. Provate!"
2021-05-14T13:08:38.000Z,Federica,5 stars: Excellent,Ottima,"Ottima , cortese e paziente assistenza da parte di Jacopo !👍👍👍👍👍"
2021-05-13T04:18:22.000Z,Annita,5 stars: Excellent,Assolutamente soddisfatta,"Sono stata seguita da Alberto, che ringrazio ancora moltissimo, super disponibile e competente. Anche i suoi colleghi sono Stati davvero gentili. Abbiamo trovato insieme la soluzione migliore per le mie esigenze in merito a gas luce e rete internet!"
2021-04-29T16:46:54.000Z,Nicola,5 stars: Excellent,Eccezionale,Non ho commenti siete gentilissimi
2021-04-21T05:41:38.000Z,Sergio,5 stars: Excellent,Eccezionale,"Veramente competente, gentilezza e professionalità"
2021-04-13T06:31:34.000Z,Antonio,5 stars: Excellent,Professionalità e chiarezza,"Ottimo servizio, mi hanno aiutato ad effettuare un cambio fornitore, chiarezza e professionalità al 100 %, servizio stupendo.Grazie mille Cristina per il tuo aiuto!"
2021-04-12T19:39:42.000Z,Giuseppe,5 stars: Excellent,Siete eccezionali,Siete eccezionali e professionali
2021-04-07T16:17:27.000Z,Antonella,5 stars: Excellent,Tutto ok anche il personale gentile e…,Tutto ok anche il personale gentile e disponibile
2021-04-01T13:02:02.000Z,Claudia Marchesani,5 stars: Excellent,Super professionalita',Una vostra collaboratrice ( sig.ra Simona) mi ha aiutato in maniera eccellente a riattivare le utenze.Grazie
2021-03-30T19:11:17.000Z,Antonio,5 stars: Excellent,Cortesia gentilissimi e professionale,Professionale e gentilissimi
2021-03-29T14:31:22.000Z,Mohamed,5 stars: Excellent,Grazie,Ottimo excelent
2021-03-25T15:25:48.000Z,Antonino,5 stars: Excellent,Serietà e ottima qualità,-
2021-03-25T09:51:59.000Z,Consuelo,5 stars: Excellent,ASSOLUTAMENTE CONSIGLIATO,"Ottimo servizio. Ho avuto il piacere di essere seguita da Alberto, operatore davvero gentilissimo, abbiamo stipulato un contratto in modo veloce, semplice, trasparente e chiaro. Ho apprezzato la competenza e la gentilezza! Grazie di cuore, durante i traslochi trovare appoggi come papernest è oro!CONSIGLIATISSIMO!"
2021-03-24T15:57:55.000Z,Antonio,5 stars: Excellent,La persona che ha parlato con me si…ALBERTO,La persona che ha parlato con me si chiama Alberto ed è stato molto gentile e paziente persone che non se ne trovano più . a prescindere come vada il mio contratto è una persona da 5 6 7 8 10 Stelle.........
2021-03-23T08:56:06.000Z,Luigi,5 stars: Excellent,Ottimo,Ottimo cordialità e serietà
